Year,National Waterways- I,National Waterways- II,National Waterways-III,Total
1997-98,1000845,18587,751605,1771037
1998-99,852218,8723,1026889,1887830
1999-00,730900,6331,1112183,1849414
2000-01,355024,5337,1085151,1445512
2001-02,216652,44213,1164460,1425325
2002-03,632507,103204,1188136,1923847
2003-04,786512,791522,1362149,2940183
2004-05,887317,811539,1158783,2857639
2005-06,99243,804401,1172889,2076533
2006-07,1317395,1086026,1022776,3426197
2007-08,1510418,1307589,673127,3491134
2008-09,1354298,231309,766214,2351821
2009-10,1837112,183341,667197,2687650
2010-11,1877748,2163745,885694,4927187
2011-12,3310047,2406448,1343770,7060265
2012-13,2716437,2426805,1236403,6379645
2013-14,3349138,2475349,1066006,6890493
2014-15,5050209,2491720,843697,8385626
2015-16,6237124,2584306,1061042,9882472
2016-17,4505377,2590754,1032839,8128970
2017-18,5479362,3162151,427989,9069502
2018-19,7349330,2871817,420312,10641459
2019-20,9112397,392767,546051,10051215
2020-21,9205965,307095,734582,10247642
